Topic,Count,Name,Representation,Representative_Docs
23,141,23_manufacturing_jobs_job_bring,"['manufacturing', 'jobs', 'job', 'bring', 'back', 'labor', 'workers', 'bringing', 'uncertainty', 'american']","['  bill clinton outsourced us jobs and manufacturing to china trump is bringing american jobs back with protectionist tariff policy desantis you mean the guy who lost iowa in the most embarrasing election thwomp of all time hes never making a comeback alienated too much of the ', ' but if the reported trump tariff deals go through how will we fund the government after eliminating the income tax how will we bring back manufacturing jobs come to think of it if we bring back jobs wont that be less revenue from tariffs', 'manufacturing jobs are never coming back ']"
24,131,24_apple_iphones_threatens_iphone,"['apple', 'iphones', 'threatens', 'iphone', 'phones', 'threat', 'made', 'manufactured', 'threatened', 'trump']","['trumps economic advisor hassett says no intent to harm apple with iphone tariffs trumps advisor hassett says the us doesnt want to harm apple with iphone tariffs\ntrump threatened to impose a  tariff on apple for iphones made outside the us\napple had earlier reported ', 'trump tariffs apple\n\n', 'trump threatens amp tariffs on apple unless iphones are made in the us ']"
25,127,25_auto_car_cars_parts,"['auto', 'car', 'cars', 'parts', 'vehicles', 'ford', 'vehicle', 'manufacturers', 'automotive', 'production']","['   for this scheme to work  the country would have to do what president trump is doing impose tariffs on all auto imports immediately resulting in raising car prices by same tariff  less competitive us car manufacturers and poorer quality cars  this isnot sustainable in usa', ' we wont buy your cars other companies are supporting the us customer base they have auto plants in your country  what do you think the auto pac was about we have a  tariff on canola by china because we protected the us market with a   tariff on their cars', 'trump expected to ease auto tariffs\n\nwsj reports trump will announce changes to auto tariffs at a michigan rally wednesday\n\ncompanies hit with a  tariff on imported cars this month may receive partial refunds\n\nnew  tariff on auto parts starts may  but us manufacturers']"
26,126,26_vietnam_golf_goods_their,"['vietnam', 'golf', 'goods', 'their', 'us', 'rate', 'china', 'proposal', 'asian', 'trade']","[' country a  no tariff for vietnam\n\ncountry b the us  tariff for vietnam\n\nwho is vietnam going to trade with the country that puts a tariff on their exports or the country that does not\n\namerica does not have all the cards with regards world trade', 'in a breathtakingly short period of time donald trump has not only found his vietnam he has found several\n\nthe tariff vietnam \nthe ice gestapo vietnam \nthe big beautiful bill vietnam\nand the iran vietnam', ' vietnam does not have a  tariff on the us']"
27,116,27_amazon_costs_showing_called,"['amazon', 'costs', 'showing', 'called', 'political', 'cost', 'white', 'upset', 'show', 'house']","['time to not buy amazon anymore \n\nread amazon says it wont display tariff costs it still exploded into a political fight on smartnews ', 'do you side with president trump or jeff bezos\n\namazon says theyre labelling tariff pricehikes on foreign productsputting china first\n\namazon should proudly display a madeinamerica  sticker on all great american products \n  ', ' trump cheers bezos amid amazon tariff row\n']"
28,115,28_uschina_talks_london_trade,"['uschina', 'talks', 'london', 'trade', 'tensions', 'truce', 'deal', 'amid', 'agreement', 'disputes']","['uschina tariff talks in focus\n', '  up a little with the tariff talks between uschina resuming', 'before the uschina tariff truce fund managers were bracing for a us economic downturnnow markets are recalibrating\ntariffs uschina economy fundmanagers marketoutlook\n\n ']"
29,110,29_interest_rates_fed_rate,"['interest', 'rates', 'fed', 'rate', 'cut', 'cuts', 'inflation', 'reserve', 'risks', 'lower']","['  thats moronic and trump would tell you the same thing if anything he wants the fed to cut interest rates but the tariff rollout was so chaotic it started increasing interest rates on treasury bonds so trump was forced to back down  as he admitted', 'in the end trumps tariffs are a problem the fed will cut interest rates quickly only when trumps tariff risks disappear however trump is only asking the fed to cut interest rates without resolving his tariff risks\ntrump tariff fed fomc', 'interest rate cut tipped despite trump tariff backdown ']"
30,110,30_taco_tacotrump_his_out,"['taco', 'tacotrump', 'his', 'out', 'he', 'but', 'trump', 'theory', 'don', 'no']","[' its like a contest between starmer  and taco trump with his tariff uturns', 'taco jibe stings trump over tariff flipflops  vantage with palki sharma  ng  ', ' trump u taco tariff tosser']"
31,108,31_eu_european_europe_union,"['eu', 'european', 'europe', 'union', 'threat', 'june', 'talks', 'starting', 'donald', 'trade']","['talks going nowheretrump fumes at eu trade talks calls for  tariffs oneuropeangoods\nus president donald trump has issued a fiery threat to the european unionwarning of a  tariff on all eu goods sold in the usa    \n', 'trump announces pc tariffs on eu\n\nus president donald trump has said he wants to impose a pc tariff on the european union starting from june ', 'trump recommending a  tariff on the eu ']"
32,104,32_eu_europe_european_union,"['eu', 'europe', 'european', 'union', 'goods', 'billion', 'worth', 'us', 'accept', 'agrees']","['breaking european union agrees to impose tariffs on  billion worth of us imports ', ' eu tariff deal with the us', '   eu is talking about taking  billion from european citizens accounts and  billion a year there after \n\nthe eu is charging a  tariff on imported us goods then theres a value added tax like  in germany  us had a  tariff on\n\nthe eu takes your money for what']"
33,103,33_israel_gaza_ukraine_iran,"['israel', 'gaza', 'ukraine', 'iran', 'war', 'russia', 'second', 'they', 'support', 'failed']","['i wonder what trumps tariff is for israel\ndont you\ni wouldnt be surprised to find out that he was taking the billions from all the tariffs and giving it to israel', ' yes and israel was charging us tariffs even though we were paying them billions lets make israel pay too', ' israel was first in  tariff to us']"
34,92,34_put_gonna_should_trump,"['put', 'gonna', 'should', 'trump', 'maybe', 'them', 'get', 'will', 'yes', 'tariff']","['   trump will put a tariff on that', 'will all those people still waiting for their  trump gold sneakers get hit with the  tariff  \njust kidding trump was always gonna just screw them out of their money', ' maybe trump should put a tariff on it']"
35,89,35_lying_lies_lie_lied,"['lying', 'lies', 'lie', 'lied', 'he', 'liar', 'about', 'truth', 'you', 'voters']","['most shameless liar on record a narcissist who fabricates lies on the go  \n mexico shall pay for the wall  a lie \n china shall pay the tariffs  a fat lie\n tariff is a tax on consumers  yes  correct despite the horrendous lies peddled by trump  ', ' we cant believe a fucking word trump says all he does is lie  tariff deals lies talking to ji also lies trump is a degenerate liar ', ' why  trump said the other countries pay thw tariff  who is lying']"
36,89,36_billion_revenue_collected_generated,"['billion', 'revenue', 'collected', 'generated', 'revenues', 'announces', 'record', 'wow', 'april', 'government']","['wow trump announces a massive  billion in tariff revenue  ', '  trumps tariff revenue has already topped  billion in may video \n\nduties generated  billion in revenue for the us in april and may after president trump imposed new tariffs on steel aluminum cars and goods from china mexico and canada\n\n', 'trump tariffs rake in record  billion in revenue ']"
37,86,37_musk_elon_tesla_elonmusk,"['musk', 'elon', 'tesla', 'elonmusk', 'trumps', 'trump', 'maga', 'corrupt', 'beautiful', 'white']","['  and  is it true that trump and musk are splitting over tariff policies', ' trump is frantically googling how to tariff elon musk', 'musk calls trumps tariff architect dumber than a sack of bricks']"
38,83,38_elon_tesla_doge_he,"['elon', 'tesla', 'doge', 'he', 'trump', 'his', 'and', 'bill', 'with', 'vs']","[' time for trump to put a tariff on elon at all  ', ' \nits elon drama as usual  nobody asked elon to support the trump campaign and no one asked elon to work at doge well he did it thats great  elon was like a puppy following trump everywhere but  i do agree with elon on tariff and big bill  elon is a grownup', 'elon on president trumps tariffs ']"
39,82,39_farmers_agriculture_farm_john,"['farmers', 'agriculture', 'farm', 'john', 'food', 'term', 'their', 'out', 'first', 'family']","['in the face of federal tax hikes  is standing with pa farmers\n\nim not sure why the trump admin is looking to screw over our farmers\n\n amid trump tariff uncertainty shapiro tells farmers we have their backs gt\n', ' one of thousands of examples of farmers that will be directly damaged by the trump tariff tax on farmers', 'no tariff carveout for farmers  the atlantic ']"
40,81,40_debt_trillion_revenue_cuts,"['debt', 'trillion', 'revenue', 'cuts', 'trillions', 'national', 'deficit', 'interest', 'spending', 'billion']","['  is it   they have a trillion dollar surplus per year  with no debt   what do you think the tariff war was about  us has a  trillion debt and no surplus go do some maths', 'i thought trump was going to use the tariff money to pay down the national debt \n\nhe has to pay for his  republican tax cut\n\nthe republican tax bill will drive up the national debt\n\nhe cannot reduce the national debt and eliminate federal income tax', ' the budget is not balanced why are we increasing debt to give tax cuts reduce the debt by saying no to tax cuts dont forget we are all paying trumptariff taxes now']"
41,74,41_prices_price_increase_increases,"['prices', 'price', 'increase', 'increases', 'consumer', 'passed', 'consumers', 'raise', 'cost', 'because']","[' now youre lucky because you have a bunch of increase in tariffs yes and a small increase in prices yes but you also have donald trump who is a businessman and negotiation genius who will still be making tariff revenue while offsetting the prices of the tariffs', '  only demonrats have been driving up expenses\n\nthat makes no sense\n\nincrease tariffs on food items   increase prices   paying more money at the register\n\nnothing to do with dems trump tariff increases are the sole reason for price increase ', ' not the full story that b is passed on to american consumers in higher prices we expected high prices for all consumer goods because of trump dumb tariff wars']"
42,73,42_article_read_cry_link,"['article', 'read', 'cry', 'link', 'lol', 'story', 'huh', 'post', 'oh', 'harder']","['link to article in   ', ' i just read the article the title and content dont even match ', '  here you go   todays article  you might want to take the time to read it \n\n']"
43,70,43_july_deadline_pause_ends,"['july', 'deadline', 'pause', 'ends', 'extend', 'offers', 'wednesday', 'date', 'best', 'th']","['trump says hes not planning to extend july  deadline for trade deals ', 'breaking\n\ntrump on july  tariff pause deadline\n\ni dont think i need to extend it  but could\n\nexpect volatility for crypto amp xrp ', 'breaking \n\npresident trump comments on his july th deadline for the day tariff pause\n\ni dont think i need to extend it but could']"
44,69,44_she_her_women_boy,"['she', 'her', 'women', 'boy', 'spread', 'company', 'look', 'effects', 'sharing', 'our']","[' one day lady us will wake up and realize that she has pushed eveyone away with her tantrum that leads her to sanctioning neighbour n throwing tariff increases\nshe will find herself alone n broke\nmark my word mr white genocide', ' is a separatist she wants your cpp she wants her own independent police force and she intentionally lit the flames of separatism \nthen lies as she helps trump by putting product back on the shelves amp refusing to tariff oampg \n\nshe is a liar', '  she would have to pay the  tariff trump put on china  to get her liquid spread here']"
45,69,45_bond_bonds_yields_market,"['bond', 'bonds', 'yields', 'market', 'debt', 'yield', 'treasury', 'selloff', 'investors', 'crisis']","['us y treasury yields hit  after tariff fears sparked a bond selloff higher yields raise borrowing costs pressuring stocks esp tech crypto faces outflows as capital shifts to safer bonds but btc may rally if fiat trust erodes  markets bonds', 'trump dodged a disaster from the bond market but the damage isnt over yet\n\nthe serious folks dont follow the stock market they follow the bond market\n\npresident donald trumps stunning tariff pivot wednesday followed massive tumult in the  trillion global bond market ', 'wrote about the us bond market earlier this month  bonds treasuries']"
46,67,46_dollar_usd_since_worst,"['dollar', 'usd', 'since', 'worst', 'threats', 'currency', 'continued', 'has', 'backed', 'lowest']","['the dollar has its worst start to a year since  it has continued to slide even as president trump has backed down from his tariff threats and the us stock market has recovered from its losses ', 'the dollar has its worst start to a year since \nit has continued to slide even as president trump has backed down from his tariff threats and the us stock market has recovered from its losses ', 'the dollar has its worst start to a year since \n\nit has continued to slide even as president trump has backed down from his tariff threats and the us stock market has recovered from its losses\n\n ']"
47,67,47_insider_trading_stock_inside,"['insider', 'trading', 'stock', 'inside', 'insiders', 'manipulation', 'announcement', 'announcements', 'fox', 'info']","['trump should be arrested or at the very least investigated\n tariff ok only  \n trumptariffs ok delay those\n\nflip flopall the while giving inside information to his buddies to make billions in huge stock swings \npelosi has nothing on trump \nfor insider trading ', ' trump should be arrested or at the very least investigated\n tariff ok only  \n trumptariffs ok delay those\n\nflip flopall the while giving inside information to his buddies to make billions in huge stock swings \npelosi has nothing on trump \nfor insider trading ', ' trump should be arrested or at the very least investigated\n tariff ok only  \n trumptariffs ok delay those\n\nflip flopall the while giving inside information to his buddies to make billions in huge stock swings \npelosi has nothing on trump \nfor insider trading ']"
48,66,48_penguins_island_heard_population,"['penguins', 'island', 'heard', 'population', 'put', 'slapped', 'known', 'trumptariff', 'figure', 'on']","['  oh so china could trade with the penguins and not have to pay a tariff if the penguins traded it to us ', ' \n trump imposed a  percent tariff on heard island and mcdonald islands which have zero populations and are inhabited only by penguins and scientific research teams\n\n\ntrump this tariff is part of a plan to make penguins pay for their national security ', 'trumptariff  on  penguins  what ']"
49,66,49_india_apple_iphones_iphone,"['india', 'apple', 'iphones', 'iphone', 'apples', 'production', 'shifts', 'move', 'made', 'moving']","['trump to apple make iphones in us or face  per cent tariff\n\n\n\ntrump tariffs apple trumptariff timcook india usa iphone', 'despite trumps  tariff made in india iphones will still be cheaper in the us gtri\n\niphone madeinindia trumptariff apple ', 'made in india iphones will still be cheaper in us even with trumps  tariff gtri report\n\niphone trumptariff apple ']"
50,66,50_tax_taxes_income_history,"['tax', 'taxes', 'income', 'history', 'revenue', 'americans', 'trump', 'yall', 'rich', 'new']","[' nope however we workingclass americans will be eating trump tax tariffs that would be close to this percentage of our income income tax  tariff tax if trump does not negotiate', ' the trump tariff tax', ' how do those relate to tariffs and income tax  trump didnt advocate for any of those  his point is that tariffbased revenue is better than income taxes']"
51,65,51_fentanyl_stop_drug_border,"['fentanyl', 'stop', 'drug', 'border', 'existing', 'china', 'baseline', 'they', 'sending', 'incentive']","[' if fentanyl is only uss problem why china is making stop cooperation with us on fentanyl as one of its  counter measures when us announced its tariff policy on april  ', ' in trump found out the fentanyl drug trafficking are coming from china so trump and xi had an agreement to curb the fentanyl trafficking but china failed to do  trump impose  tariff on china products coming into us', ' so the chinese government is making money off of illegal fentanyl coming to the us\ntariff the fentanyl']"
52,64,52_gold_dollar_asset_usd,"['gold', 'dollar', 'asset', 'usd', 'bitcoin', 'stable', 'reserve', 'investors', 'as', 'trumptariff']","['dtr dtref gold amp rareearths\nnews is coming \n \n\n \n ', 'historical gold cycles gold safehaven ustariff china india equity ', 'gold price today news federal court blocks trumps reciprocal tariffs gold down goldpricetodaynews trumptariff courttariff preciousmetals gold silver bullion goldsilvernews trump ustariff reciprocaltariffs  ']"
